Date,Chrome,IE,Firefox,Safari,Opera
2009,3.23,59.1,30.17,3.41,2.85
2010,9.95,49.93,30.35,4.93,2.6
2011,19.79,40.31,26.49,6.36,3.08
2012,29.3,29.66,21.27,9.04,3.67
2013,34.67,23.15,16.55,10.94,3.68
2014,38.94,15.46,13.17,13.77,4
2015,44.87,11.24,10.51,13.06,5
2016,49.08,6.25,7.97,13.31,5.47
2017,53.96,3.95,6.19,14.51,3.84
2018,59.12,3,5.21,14.43,3.52
2019,63.31,2.24,4.57,15.86,2.57
2020,64.6,1.35,4.22,17.84,1.99
2021,64.45,0.62,3.62,18.9,2.24
2022,64.78,0.37,3.38,18.93,2.23
2023,63.81,0.21,2.91,19.88,2.72
